Provinsi_Clean,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
BANTEN,2019,5.09,72.44,8.74,0.5300353356890461,0.4318181818181819,5.569099999999995,0.06733167082294261,0.46996466431095385,0.5681818181818181,0.2882915983411211
BANTEN,2020,5.92,72.45,8.89,0.5304770318021204,0.46280991735537214,6.481899999999997,0.10182876142975891,0.46952296819787964,0.5371900826446279,0.29920928770316896
BANTEN,2021,6.66,72.72,8.93,0.542402826855124,0.47107438016528924,6.7781,0.13258520365752283,0.457597173144876,0.5289256198347108,0.30935687773916637
BANTEN,2022,6.16,73.32,9.13,0.568904593639576,0.5123966942148763,6.408500000000003,0.11180382377389855,0.431095406360424,0.4876033057851237,0.2827511949521012
BANTEN,2023,6.17,73.87,9.15,0.5931978798586579,0.5165289256198349,6.325899999999999,0.11221945137157105,0.4068021201413421,0.4834710743801651,0.2748445766042212
BANTEN,2024,5.84,74.48,9.23,0.6201413427561842,0.5330578512396695,6.066499999999999,0.09850374064837902,0.37985865724381584,0.46694214876033047,0.25659789724940035
BENGKULU,2019,15.23,71.21,8.73,0.47570671378091856,0.4297520661157026,12.62790000000001,0.48877805486284276,0.5242932862190814,0.5702479338842974,0.5157266000740053
BENGKULU,2020,15.03,71.4,8.84,0.48409893992932895,0.4524793388429751,14.020999999999985,0.48046550290939305,0.515901060070671,0.5475206611570249,0.5045072017073028
BENGKULU,2021,15.22,71.64,8.87,0.49469964664310995,0.45867768595041314,13.90210000000001,0.4883624272651703,0.50530035335689,0.5413223140495869,0.5040357824495696
BENGKULU,2022,14.62,72.16,8.91,0.5176678445229683,0.4669421487603307,13.07509999999999,0.4634247714048212,0.4823321554770317,0.5330578512396693,0.483023602593454
