Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
DI YOGYAKARTA,2021,12.8,80.22,9.64,0.9035738368172621,0.7458791208791209,12.417399999999986,0.316271186440678,0.09642616318273789,0.2541208791208791,0.23788761799933617
DI YOGYAKARTA,2022,11.34,80.64,9.75,0.9177343223196226,0.760989010989011,11.2519,0.26677966101694917,0.0822656776803774,0.23901098901098905,0.2058717316147856
DI YOGYAKARTA,2023,11.04,81.07,9.83,0.9322319622387052,0.7719780219780219,10.773799999999989,0.2566101694915254,0.06776803776129481,0.2280219780219781,0.19423989167854677
DI YOGYAKARTA,2024,10.83,81.55,9.92,0.9484153742414023,0.7843406593406592,10.179400000000001,0.2494915254237288,0.05158462575859768,0.21565934065934078,0.18335301857131187
DKI JAKARTA,2019,3.47,80.76,11.06,0.9217801753202968,0.9409340659340659,4.181700000000004,0.0,0.07821982467970323,0.05906593406593408,0.03527913421709779
DKI JAKARTA,2020,4.53,80.77,11.13,0.9221173297370193,0.9505494505494505,4.583399999999997,0.035932203389830525,0.07788267026298068,0.0494505494505495,0.05122101266391936
DKI JAKARTA,2021,4.72,81.11,11.17,0.9335805799055967,0.956043956043956,4.764300000000005,0.0423728813559322,0.06641942009440327,0.04395604395604402,0.04990347549749588
DKI JAKARTA,2022,4.69,81.65,11.31,0.9517869184086314,0.9752747252747251,4.700499999999999,0.041355932203389845,0.04821308159136861,0.02472527472527486,0.04008694552416048
DKI JAKARTA,2023,4.44,82.46,11.45,0.9790964261631825,0.9945054945054943,4.4968,0.0328813559322034,0.020903573836817513,0.005494505494505697,0.023810651216048095
DKI JAKARTA,2024,4.3,83.08,11.49,0.9999999999999998,1.0,4.443600000000004,0.028135593220338984,2.220446049250313e-16,0.0,0.014067796610169558
GORONTALO,2019,15.52,68.49,7.69,0.5080917060013486,0.4780219780219781,13.549099999999996,0.40847457627118644,0.49190829399865144,0.5219780219780219,0.456205380730793
GORONTALO,2020,15.22,68.68,7.82,0.5144976399190833,0.4958791208791209,14.213600000000012,0.39830508474576265,0.48550236008091674,0.5041208791208791,0.4456274262213321
GORONTALO,2021,15.61,69.0,7.9,0.5252865812542142,0.5068681318681318,14.928499999999985,0.4115254237288135,0.47471341874578576,0.49313186813186816,0.4468031111145161
GORONTALO,2022,15.42,69.81,8.02,0.5525960890087662,0.5233516483516483,14.555700000000007,0.4050847457627118,0.4474039109912338,0.47664835164835173,0.4320932165083964
GORONTALO,2023,15.15,70.45,8.1,0.5741739716790291,0.5343406593406592,13.954200000000014,0.3959322033898305,0.42582602832097094,0.4656593406593408,0.4188457783230747
GORONTALO,2024,14.57,71.23,8.29,0.6004720161834121,0.5604395604395602,12.19680000000001,0.3762711864406779,0.39952798381658794,0.4395604395604398,0.39590607627740326
JAMBI,2019,7.6,71.26,8.45,0.6014834794335806,0.5824175824175823,7.419600000000008,0.13999999999999999,0.3985165205664194,0.41758241758241765,0.27307143968640935
JAMBI,2020,7.58,71.29,8.55,0.6024949426837491,0.5961538461538463,7.457600000000005,0.13932203389830508,0.39750505731625085,0.40384615384615374,0.26968176491325857
JAMBI,2021,8.09,71.63,8.6,0.6139581928523261,0.6030219780219779,8.061699999999997,0.15661016949152542,0.3860418071476739,0.3969780219780221,0.2735132312856693
JAMBI,2022,7.62,72.14,8.68,0.6311530681051922,0.6140109890109888,7.533300000000001,0.1406779661016949,0.3688469318948078,0.38598901098901117,0.258190864817092
JAMBI,2023,7.58,72.77,8.81,0.6523937963587321,0.6318681318681318,7.896200000000006,0.13932203389830508,0.34760620364126793,0.36813186813186816,0.24756925166790655
